channel,pair,transform,auc,overlap,fisher_dprime,dprime_with_aug_noise,median_sep,width80_a,width80_b
v,muon-vs-pion,linear1000,0.5998251941876814,0.8292578248036716,0.29246639452899215,0.2720539816139761,0.020009948429719038,0.13649538501737546,0.2162024293288829
v,muon-vs-pion,sqrt,0.5998251941876814,0.8292578248036716,0.3363555810666034,0.3253889927052767,0.049686874042151,0.3360782893853289,0.4525327813213603
v,muon-vs-pion,asinh25,0.5998251941876814,0.8292578248036716,0.35379875440237385,0.3394831750150575,0.056904076960019534,0.3708703571433073,0.46284829864100197
v,muon-vs-pion,quantile,0.5998251941876814,0.8292578248036716,0.3397602664370228,0.3385178050124361,0.3241905415782351,1.566602516268836,1.6473075723811443
v,muon-vs-proton,log(current),0.6983383186589137,0.6513269687105917,0.40075183137103565,0.3924132113323788,0.10538598064534788,0.3057260582289658,0.4029417926265295
v,muon-vs-proton,linear1000,0.6983383186589137,0.6513269687105917,0.5738427908502093,0.5470540931651615,0.059580581566129664,0.13649538501737546,0.3269045655669489
v,muon-vs-proton,sqrt,0.6983383186589137,0.6513269687105917,0.6793321705002426,0.6621881707288128,0.1339354998360751,0.3360782893853289,0.5845739440113309
v,muon-vs-proton,asinh25,0.6983383186589137,0.6513269687105917,0.7212946269001471,0.6964923698819604,0.14547211773704993,0.3708703571433073,0.546523294385186
v,muon-vs-proton,quantile,0.6983383186589137,0.6513269687105917,0.6747840129603416,0.6723540524296913,0.6623847056818377,1.566602516268836,1.6347834928273854
v,pion-vs-proton,log(current),0.609055844808208,0.8067823121775123,0.2112085377356834,0.20708345736658415,0.06247629454599557,0.35755274756632405,0.4029417926265295
v,pion-vs-proton,linear1000,0.609055844808208,0.8067823121775123,0.3040102254570491,0.29244386947471473,0.03957063313641063,0.2162024293288829,0.3269045655669489
v,pion-vs-proton,sqrt,0.609055844808208,0.8067823121775123,0.35169927917675275,0.3442499310082037,0.08424862579392411,0.4525327813213603,0.5845739440113309
v,pion-vs-proton,asinh25,0.609055844808208,0.8067823121775123,0.36846767250877094,0.35745942108997136,0.0885680407770304,0.46284829864100197,0.546523294385186
v,pion-vs-proton,quantile,0.609055844808208,0.8067823121775123,0.3275841633711937,0.32647336626865925,0.3381941641036026,1.6473075723811443,1.6347834928273854
v,electron-vs-gamma,log(current),0.5566961332009797,0.9043274464556493,0.12537372508772274,0.12299759520055147,0.02888962600435674,0.4267809570520156,0.3724578365042932
v,electron-vs-gamma,linear1000,0.5566961332009797,0.9043274464556493,0.2397366831347645,0.2306633706544384,0.01661602558428632,0.34480571430119866,0.23252429922945894
v,electron-vs-gamma,sqrt,0.5566961332009797,0.9043274464556493,0.23619489651456174,0.23143274480687895,0.03716345067107263,0.6142742432757263,0.4773957654594898
v,electron-vs-gamma,asinh25,0.5566961332009797,0.9043274464556493,0.22324730207506577,0.21696020061262472,0.04029982815701583,0.5720104211885646,0.4826193272854218
v,electron-vs-gamma,quantile,0.5566961332009797,0.9043274464556493,0.16147689623924494,0.16096100432050836,0.1787938802170559,1.696006576555016,1.6734421960432788
y,muon-vs-pion,log(current),0.5938117221114874,0.8283209182154712,0.13299690355955132,0.1313287256136203,0.04960624849178741,0.3831911802258292,0.3516061665564645
y,muon-vs-pion,linear1000,0.5938117221114874,0.8283209182154712,0.22034340184986695,0.20868472286332063,0.02383508876564111,0.23407508786471243,0.17125900644099135
y,muon-vs-pion,sqrt,0.5938117221114874,0.8283209182154712,0.2667629078896215,0.2600592813895252,0.05829393597661947,0.48464755078747024,0.39992553919453877
y,muon-vs-pion,asinh25,0.5938117221114874,0.8283209182154712,0.29757852445446636,0.28768834130582394,0.06628739306968234,0.4910565783213372,0.42875635445968474
y,muon-vs-pion,quantile,0.5938117221114874,0.8283209182154712,0.3376842092901069,0.3363031160409175,0.29355008131047555,1.5913789494315047,1.4810794036246377
y,muon-vs-proton,log(current),0.5402629340294138,0.9190939045575387,0.058253684548834006,0.05757039225639003,0.02331894226452813,0.3831911802258292,0.4164614963949529
y,muon-vs-proton,linear1000,0.5402629340294138,0.9190939045575387,0.12514438125412428,0.12033908002486314,0.013784698025571585,0.23407508786471243,0.28827755902591
y,muon-vs-proton,sqrt,0.5402629340294138,0.9190939045575387,0.13369947986885053,0.1310349497298836,0.030414236877384204,0.48464755078747024,0.5562654047643842
y,muon-vs-proton,asinh25,0.5402629340294138,0.9190939045575387,0.13493168923534224,0.13116492464534296,0.032710727128847594,0.4910565783213372,0.5416105540093936
y,muon-vs-proton,quantile,0.5402629340294138,0.9190939045575387,0.13589337361975068,0.1354007060576922,0.14525401287236472,1.5913789494315047,1.656133837230411
y,pion-vs-proton,log(current),0.6264358794394833,0.7673004212569836,0.19046975457085255,0.18814826179595578,0.07292519075631554,0.3516061665564645,0.4164614963949529
y,pion-vs-proton,linear1000,0.6264358794394833,0.7673004212569836,0.3398691192667346,0.32442636027142285,0.037619786791212695,0.17125900644099135,0.28827755902591
y,pion-vs-proton,sqrt,0.6264358794394833,0.7673004212569836,0.39358448263038176,0.3847577625069406,0.08870817285400368,0.39992553919453877,0.5562654047643842
y,pion-vs-proton,asinh25,0.6264358794394833,0.7673004212569836,0.4257690818238785,0.41278397829196195,0.09899812019852994,0.42875635445968474,0.5416105540093936
y,pion-vs-proton,quantile,0.6264358794394833,0.7673004212569836,0.4685034770094788,0.4666930720122047,0.4388040941828403,1.4810794036246377,1.656133837230411
y,electron-vs-gamma,log(current),0.5121769959816781,0.9606054927401664,0.008402921989345577,0.00830248703292432,0.006944646373328034,0.3865295415242398,0.39001043152687287
y,electron-vs-gamma,linear1000,0.5121769959816781,0.9606054927401664,0.04998769273137726,0.047458072781236135,0.00358762145262681,0.231614657538876,0.23259773648860005
y,electron-vs-gamma,sqrt,0.5121769959816781,0.9606054927401664,0.008840377798412093,0.008634589390217209,0.00846900883179924,0.48381549634253895,0.48662410722653693
y,electron-vs-gamma,asinh25,0.5121769959816781,0.9606054927401664,0.01459498672593981,0.014149208937802981,0.009468166569053471,0.4919329784636318,0.4948202079888422
y,electron-vs-gamma,quantile,0.5121769959816781,0.9606054927401664,0.04311677612134316,0.04295614299848091,0.04330333735043179,1.5967745187821978,1.603388971355127
sum,muon-vs-pion,log(current),0.5481696384420448,0.9283429269502864,0.17141601159213946,0.15265670838777542,0.015054876420350416,0.23246582506346836,0.25075850259716903
sum,muon-vs-pion,linear1000,0.5481696384420448,0.9283429269502864,0.17128494388673157,0.16740542358628313,0.02396975110503574,0.3790088470063321,0.46218793556993243
sum,muon-vs-pion,sqrt,0.5481696384420448,0.9283429269502864,0.17848668171571838,0.17458522625920653,0.03222664787293439,0.4945244944219471,0.5655423003174035
sum,muon-vs-pion,asinh25,0.5481696384420448,0.9283429269502864,0.17144085447018534,0.1626533272621554,0.023119256573018165,0.35454828866633237,0.3838500641095347
sum,muon-vs-pion,quantile,0.5481696384420448,0.9283429269502864,0.16594101431466446,0.1653198452386713,0.13633061243953426,1.5725770064159046,1.6197340033959953
sum,muon-vs-proton,log(current),0.7131292314979765,0.6554160159910792,0.7484242959514845,0.6734157141343552,0.082602824196498,0.23246582506346836,0.2822469969045154
sum,muon-vs-proton,linear1000,0.7131292314979765,0.6554160159910792,0.6933822512454774,0.6826056027212276,0.16119964589728508,0.3790088470063321,0.7305210099631946
sum,muon-vs-proton,sqrt,0.7131292314979765,0.6554160159910792,0.7531316813573846,0.7401658892354104,0.1953151643664227,0.4945244944219471,0.7502431992788582
sum,muon-vs-proton,asinh25,0.7131292314979765,0.6554160159910792,0.7481707642603371,0.7138180440258364,0.1274524079685333,0.35454828866633237,0.43554218584239157
sum,muon-vs-proton,quantile,0.7131292314979765,0.6554160159910792,0.7471144446218032,0.7442436233798646,0.6530883127113225,1.5725770064159046,1.5278386339193197
sum,pion-vs-proton,log(current),0.6689926575674587,0.7243809185592232,0.5688238935475233,0.5146003309308503,0.06754794777614759,0.25075850259716903,0.2822469969045154
sum,pion-vs-proton,linear1000,0.6689926575674587,0.7243809185592232,0.5221112577553231,0.5148405723380929,0.13722989479224934,0.46218793556993243,0.7305210099631946
